time,stage,weight,max_speed_rad_s,max_acceleration_rad_s2,left_ankle_pitch,left_ankle_roll,left_elbow,left_hip_pitch,left_hip_roll,left_hip_yaw,left_knee,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_wrist_pitch,left_wrist_roll,left_wrist_yaw,right_ankle_pitch,right_ankle_roll,right_elbow,right_hip_pitch,right_hip_roll,right_hip_yaw,right_knee,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_wrist_pitch,right_wrist_roll,right_wrist_yaw,waist_pitch,waist_roll,waist_yaw
0.0,action_a,0.0,0.0,0.0,0.00023236656852532178,-0.13414216041564941,1.26289701461792,-0.32391461730003357,-0.15634267032146454,-0.03906896710395813,0.24421249330043793,0.3339152932167053,1.8835036754608154,0.3839116096496582,-0.027866363525390625,0.04923015460371971,0.21819496154785156,-0.010354703292250633,0.14497317373752594,1.6434587240219116,0.09669878333806992,0.4924764931201935,0.043037574738264084,0.7850707769393921,0.3011550307273865,-1.616329550743103,-0.19950763881206512,-0.028320815414190292,0.001421253546141088,0.041377827525138855,0.48135605454444885,-0.09688986837863922,0.27583184838294983
0.00833333333333286,action_a,0.0,3.9222335815429688,0.0,0.003513283794745803,-0.12969495356082916,1.2302117347717285,-0.32164740562438965,-0.14952266216278076,-0.03930829465389252,0.22877098619937897,0.33604687452316284,1.8587985038757324,0.39296960830688477,-0.02512853406369686,0.049658216536045074,0.21049882471561432,-0.005702876020222902,0.14422255754470825,1.6273491382598877,0.09184838831424713,0.4925875663757324,0.040133193135261536,0.7828465104103088,0.2875995337963104,-1.5930790901184082,-0.1924859583377838,-0.021289851516485214,0.0008261590846814215,0.0389389768242836,0.4818272292613983,-0.09594309329986572,0.27144700288772583
0.016666666666667496,action_a,0.0,3.922247886657715,0.00171661376953125,0.006794201210141182,-0.1252477467060089,1.1975263357162476,-0.3193802237510681,-0.1427026391029358,-0.039547618478536606,0.21332947909832,0.338178426027298,1.8340932130813599,0.40202757716178894,-0.022390704602003098,0.050086282193660736,0.20280268788337708,-0.0010510490974411368,0.14347195625305176,1.6112395524978638,0.08699799329042435,0.49269863963127136,0.03722881153225899,0.7806222438812256,0.2740440368652344,-1.569828748703003,-0.1854642927646637,-0.014258886687457561,0.0002310646086698398,0.036500122398138046,0.4822984039783478,-0.09499632567167282,0.2670621871948242
0.025000000000000355,action_a,0.0,4.324851036071777,205.15894889831543,0.007657498121261597,-0.11929846554994583,1.1619493961334229,-0.31378617882728577,-0.13389474153518677,-0.041412338614463806,0.1933487206697464,0.3260628283023834,1.7980527877807617,0.40449389815330505,-0.024043429642915726,0.04823526740074158,0.19289632141590118,0.0010992500465363264,0.14208891987800598,1.6070191860198975,0.08701614290475845,0.49329593777656555,0.038492657244205475,0.771833062171936,0.2551944851875305,-1.5454834699630737,-0.17996206879615784,-0.011504516005516052,1.563679688842967e-05,0.03899645805358887,0.48229846358299255,-0.0878080278635025,0.26171815395355225
0.033333333333333215,action_a,0.0,4.324851036071777,0.00171661376953125,0.008520795032382011,-0.11334918439388275,1.1263725757598877,-0.3081921339035034,-0.12508682906627655,-0.04327705502510071,0.1733679622411728,0.31394723057746887,1.7620123624801636,0.40696021914482117,-0.025696152821183205,0.04638424888253212,0.1829899549484253,0.0032495493069291115,0.140705868601799,1.6027989387512207,0.08703429251909256,0.49389323592185974,0.03975650295615196,0.7630439400672913,0.23634493350982666,-1.5211381912231445,-0.17445985972881317,-0.008750144392251968,-0.00019979101489298046,0.04149279370903969,0.48229852318763733,-0.08061972260475159,0.25637415051460266
0.041666666666666075,action_a,0.0,4.947166442871094,337.2021675109863,0.008950572460889816,-0.10634055733680725,1.085146188735962,-0.30454376339912415,-0.11689609289169312,-0.04369208216667175,0.15569250285625458,0.2816181778907776,1.7213504314422607,0.38600972294807434,-0.020766759291291237,0.04339923709630966,0.16647137701511383,0.004919347353279591,0.14007070660591125,1.6093475818634033,0.08740757405757904,0.49313783645629883,0.040230847895145416,0.752894937992096,0.20807060599327087,-1.4944798946380615,-0.15809008479118347,-0.0065808044746518135,-0.0007076594629324973,0.04275894910097122,0.4822995066642761,-0.07283192873001099,0.25307705998420715
0.05000000000000071,action_a,0.0,4.94718074798584,0.00171661376953125,0.009380348958075047,-0.09933193027973175,1.0439196825027466,-0.3008953928947449,-0.10870535671710968,-0.0441071093082428,0.13801704347133636,0.2492891103029251,1.6806883811950684,0.3650592267513275,-0.01583736576139927,0.040414221584796906,0.14995279908180237,0.006589145865291357,0.1394355595111847,1.6158961057662964,0.08778084814548492,0.4923824667930603,0.04070519283413887,0.7427459359169006,0.1797962635755539,-1.4678215980529785,-0.14172030985355377,-0.004411465022712946,-0.0012155278818681836,0.04402510076761246,0.48230046033859253,-0.06504414230585098,0.24977995455265045
0.05833333333333357,action_a,0.0,5.143947601318359,225.933837890625,0.009805167093873024,-0.09014718234539032,1.0183830261230469,-0.30225083231925964,-0.10136965662240982,-0.04487175494432449,0.12256495654582977,0.215354785323143,1.637822151184082,0.33614158630371094,-0.013110317289829254,0.035106007009744644,0.132981538772583,0.007425677962601185,0.14027856290340424,1.6252974271774292,0.08472588658332825,0.49105632305145264,0.03777018189430237,0.7303528785705566,0.15152192115783691,-1.4410772323608398,-0.11607880890369415,-0.003616664092987776,-0.0015986314974725246,0.04894606024026871,0.47471174597740173,-0.05612795799970627,0.24143245816230774
0.06666666666666643,action_a,0.0,5.143933296203613,0.00171661376953125,0.010229985229671001,-0.08096242696046829,0.9928463697433472,-0.3036062717437744,-0.09403395652770996,-0.04563640430569649,0.10711286216974258,0.1814204603433609,1.5949560403823853,0.30722397565841675,-0.010383267886936665,0.029797794297337532,0.11601027101278305,0.0082622105255723,0.14112156629562378,1.634698748588562,0.08167091757059097,0.48973020911216736,0.034835174679756165,0.7179598212242126,0.12324759364128113,-1.4143329858779907,-0.09043730050325394,-0.0028218633960932493,-0.0019817352294921875,0.053867023438215256,0.46712303161621094,-0.047211773693561554,0.23308494687080383
0.07499999999999929,action_a,0.0,6.2244415283203125,315.79856872558594,0.010750148445367813,-0.0710316002368927,0.9892401695251465,-0.31177932024002075,-0.08518566191196442,-0.04362209141254425,0.09392435848712921,0.1352122724056244,1.5430856943130493,0.2704133987426758,-0.010279308073222637,0.02546865865588188,0.10405085235834122,0.00879603996872902,0.14174394309520721,1.6334776878356934,0.07303734123706818,0.48948609828948975,0.030428532510995865,0.7059439420700073,0.08554848283529282,-1.384344458580017,-0.05720566585659981,-0.0014542733551934361,-0.0013137285131961107,0.04771193861961365,0.4551868736743927,-0.03754672780632973,0.2220473289489746
