motion_id,sha256,frames,fps,duration_s,raw_step_rad,raw_speed_rad_s,raw_acceleration_rad_s2,raw_jerk_rad_s3,raw_acceleration_p99_rad_s2,raw_position_excess_rad,raw_speed_violating_intervals,export_speed_clamp_fraction,fast_reversal_samples,fast_reversal_frames,gmr_limited_joints,gmr_limited_joint_limits,gmr_limited_collision_frames_adjusted,v2_speed_rad_s,v2_acceleration_rad_s2,v2_jerk_rad_s3,v2_speed_bad_segments,v2_acceleration_bad_segments,worst_acceleration_joint,worst_acceleration_time_s,v2_position_excess_rad,v2_jerk_jump_rad_s3,root_speed_m_s,root_acceleration_m_s2,root_jerk_m_s3,root_angular_speed_rad_s,root_angular_acceleration_rad_s2,root_speed_violation,root_angular_speed_violation
gBR_sBM_cAll_d04_mBR0_ch01,8184addae1df4c408bb57c5e67310573e8efc35220b12ff6f58e843b55a12759,720,60.0,11.983333333333333,0.15530200984772868,9.318120590863721,232.61819767034885,4671.751389532987,83.33535306125526,0.0,0,0.0,0,0,284,0,0,9.340906616808512,272.271363311116,7928.396751883138,0,0,left_elbow,0.0,0.0,2392.1412465773847,1.0080148402176263,76.98087409824974,7983.192791882593,6.047992322536912,404.42723280259514,False,False
gBR_sBM_cAll_d04_mBR0_ch02,077c492adc2c2d9a96513a0d659d19bcdc362ce4098544051a6909a70030589e,720,60.0,11.983333333333333,0.15623659542596868,9.37419572555812,178.18466514946996,4901.74846209343,110.80099410184594,0.0,0,0.0,0,0,671,2,0,9.378532972811831,200.66254325123478,9724.666541127452,0,0,right_shoulder_yaw,0.0,0.0,4285.21454755225,1.7919033822965529,99.08741776456218,8762.36771104243,11.136623553344338,1131.29738282728,False,False
gBR_sBM_cAll_d04_mBR0_ch03,533bbb3c029353a161c8dceca7c182059f0168c696a69a77886aee87e2898ad9,720,60.0,11.983333333333333,0.15569178928233307,9.341507356939985,185.52940466216398,5826.848505029548,121.50278560273948,0.0,0,0.0,0,0,1596,0,1,9.357908879817728,201.8858800208212,12206.144905402754,0,0,right_wrist_roll,0.0,0.0,5064.256025857509,1.2276999523692034,60.11984012121644,7123.354900238871,10.364479671155172,794.4713915134853,False,False
gBR_sBM_cAll_d04_mBR0_ch04,5b7316680f4b11b6ed514d7f07002ee19c279a3c83807ab9a6c90405b4480647,720,60.0,11.983333333333333,0.1570557574459439,9.423345446756635,176.55590645926483,6662.69900348359,116.01899597396388,0.0,0,0.0,0,0,1294,3,0,9.424195041042335,252.55920371148557,12219.409149687157,0,0,left_wrist_yaw,0.0,0.0,8538.838119752876,1.9089213326752268,81.40268580551184,6682.68517938387,12.566370614359352,665.4700046912479,False,False
gBR_sBM_cAll_d04_mBR0_ch05,e75a82541eda0519d1710ad9d88d3f774203a5c65c65545bcf36f8d6166fc370,720,60.0,11.983333333333333,0.15702388173538007,9.421432904122804,188.229399572986,6137.521388081882,131.4325085357903,0.0,0,0.0,0,0,1914,28,0,9.424777960769298,201.04319857278358,8893.389402105622,0,0,right_elbow,0.0,0.0,7563.620203199786,1.3698955539316364,50.42205680588704,5246.157403843569,12.56637061435934,591.2287417137856,False,False
gBR_sBM_cAll_d04_mBR0_ch06,27b0cd94e5d856e6cf5cddd972c7c0fcb6bfc914ecbb93fec1835a55d3993c5c,720,60.0,11.983333333333333,0.1563557511961624,9.381345071769744,231.1356764251449,5644.593896779807,127.44108915624494,0.0,0,0.0,0,0,1683,0,0,9.383277497375861,272.27136331111507,8859.85287726191,0,0,right_wrist_yaw,0.0,0.0,6962.509870648949,1.9729031716955563,124.8383374214853,11720.57045596607,8.515220753664789,764.0316666366874,False,False
gBR_sBM_cAll_d04_mBR0_ch09,d2617fe8735f3dd8b4c24aaf5a255a0576cc9aa7d7f1e9924539251c112c8e85,720,60.0,11.983333333333333,0.1570738507946851,9.424431047681107,186.10003268554922,6397.725225907263,117.75634133119094,1.2007050909090822e-10,0,0.0,0,0,1621,71,0,9.424725717821493,190.8912639988973,11174.040355674788,0,0,left_ankle_pitch,9.533333333333333,1.237254743102767e-10,10418.444014337225,3.000000000000002,178.577129760447,19356.56461882468,12.566370614359387,1315.5376993982495,False,False
gBR_sBM_cAll_d04_mBR1_ch01,17276f5d9ec09ff679857de6d6e64254e666317448172f982bc99fa846b8be7b,640,60.0,10.65,0.15578773952484903,9.347264371490942,193.80085899187688,5323.411779349327,115.45474999449489,0.0,0,0.0,0,0,1097,3,0,9.366936647780003,225.57836264689075,9619.533134650712,0,0,right_wrist_yaw,0.0,0.0,5609.338309210322,1.7438531181546753,119.910454973192,13757.515590251127,7.920548136258339,470.5833477645272,False,False
gBR_sBM_cAll_d04_mBR1_ch02,37c38000905162600ad552b172440c77200ba0508c7d53c4c91ab7d587064633,640,60.0,10.65,0.15681384868868664,9.408830921321199,185.06512457481463,5490.897319763418,119.74194902663629,0.0,0,0.0,0,0,876,0,1,9.41956060712589,246.68446490965434,11169.158469084794,0,0,left_wrist_yaw,0.0,0.0,4623.681582806445,1.389562220109096,97.02872629884565,7001.020212458062,11.025421338200692,1244.7628614271555,False,False
gBR_sBM_cAll_d04_mBR2_ch01,9a5acc7ac4425499a73f83388e874e37ba6b4423906f8431501bb3e908dab5c0,576,60.0,9.583333333333334,0.15600220145706656,9.360132087423993,240.14820464010717,5160.057814262616,132.55285726075343,0.0,0,0.0,0,0,1671,4,1,9.365240729883414,263.36282306659194,11251.050484133788,0,0,right_wrist_yaw,0.0,0.0,5993.548097365549,1.5105279467058461,121.04185380201604,13638.26574888469,6.939175785000944,370.9083349525873,False,False
